Comunidad autónoma,Grupo,Año,Mes,IPC
"Balears, Illes",Alimentos y bebidas no alcohólicas,2020,Abril,105.956
"Balears, Illes",Alimentos y bebidas no alcohólicas,2020,Marzo,105.449
"Balears, Illes",Alimentos y bebidas no alcohólicas,2020,Febrero,104.899
"Balears, Illes",Alimentos y bebidas no alcohólicas,2020,Enero,104.567
"Balears, Illes",Bebidas alcohólicas y tabaco,2020,Mayo,103.459
"Balears, Illes",Bebidas alcohólicas y tabaco,2020,Abril,103.189
"Balears, Illes",Bebidas alcohólicas y tabaco,2020,Marzo,103.277
"Balears, Illes",Bebidas alcohólicas y tabaco,2020,Febrero,103.248
"Balears, Illes",Bebidas alcohólicas y tabaco,2020,Enero,102.901
"Balears, Illes",Vestido y calzado,2020,Mayo,110.175
"Balears, Illes",Vestido y calzado,2020,Abril,105.968
"Balears, Illes",Vestido y calzado,2020,Marzo,97.765
"Balears, Illes",Vestido y calzado,2020,Febrero,94.291
"Balears, Illes",Vestido y calzado,2020,Enero,96.344
"Balears, Illes","Vivienda, agua, electricidad, gas y otros combustibles",2020,Mayo,100.221
"Balears, Illes","Vivienda, agua, electricidad, gas y otros combustibles",2020,Abril,100.065
"Balears, Illes","Vivienda, agua, electricidad, gas y otros combustibles",2020,Marzo,101.798
"Balears, Illes","Vivienda, agua, electricidad, gas y otros combustibles",2020,Febrero,103.503
"Balears, Illes","Vivienda, agua, electricidad, gas y otros combustibles",2020,Enero,104.772
"Balears, Illes","Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Mayo,100.344
"Balears, Illes","Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Abril,100.74
"Balears, Illes","Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Marzo,100.677
"Balears, Illes","Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Febrero,100.293
"Balears, Illes","Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Enero,100.208
"Balears, Illes",Sanidad,2020,Mayo,101.172
"Balears, Illes",Sanidad,2020,Abril,101.22
"Balears, Illes",Sanidad,2020,Marzo,101.182
"Balears, Illes",Sanidad,2020,Febrero,100.042
"Balears, Illes",Sanidad,2020,Enero,100.258
"Balears, Illes",Transporte,2020,Mayo,100.466
"Balears, Illes",Transporte,2020,Abril,101.137
"Balears, Illes",Transporte,2020,Marzo,103.939
"Balears, Illes",Transporte,2020,Febrero,107.101
"Balears, Illes",Transporte,2020,Enero,107.38
"Balears, Illes",Comunicaciones,2020,Mayo,106.137
"Balears, Illes",Comunicaciones,2020,Abril,106.229
"Balears, Illes",Comunicaciones,2020,Marzo,106.4
"Balears, Illes",Comunicaciones,2020,Febrero,105.044
"Balears, Illes",Comunicaciones,2020,Enero,105.011
"Balears, Illes",Ocio y cultura,2020,Mayo,98.889
"Balears, Illes",Ocio y cultura,2020,Abril,99.852
"Balears, Illes",Ocio y cultura,2020,Marzo,99.395
"Balears, Illes",Ocio y cultura,2020,Febrero,99.534
"Balears, Illes",Ocio y cultura,2020,Enero,99.438
"Balears, Illes",Enseñanza,2020,Mayo,105.125
"Balears, Illes",Enseñanza,2020,Abril,105.125
"Balears, Illes",Enseñanza,2020,Marzo,105.117
"Balears, Illes",Enseñanza,2020,Febrero,105.117
"Balears, Illes",Enseñanza,2020,Enero,105.117
"Balears, Illes",Restaurantes y hoteles,2020,Mayo,108.468
"Balears, Illes",Restaurantes y hoteles,2020,Abril,108.053
"Balears, Illes",Restaurantes y hoteles,2020,Marzo,107.429
"Balears, Illes",Restaurantes y hoteles,2020,Febrero,107.044
"Balears, Illes",Restaurantes y hoteles,2020,Enero,106.642
"Balears, Illes",Otros bienes y servicios ,2020,Mayo,105.325
"Balears, Illes",Otros bienes y servicios ,2020,Abril,105.259
"Balears, Illes",Otros bienes y servicios ,2020,Marzo,105.007
"Balears, Illes",Otros bienes y servicios ,2020,Febrero,104.923
"Balears, Illes",Otros bienes y servicios ,2020,Enero,104.533
Canarias,Alimentos y bebidas no alcohólicas,2020,Mayo,106.183
Canarias,Alimentos y bebidas no alcohólicas,2020,Abril,106.066
Canarias,Alimentos y bebidas no alcohólicas,2020,Marzo,105.856
Canarias,Alimentos y bebidas no alcohólicas,2020,Febrero,105.622
Canarias,Alimentos y bebidas no alcohólicas,2020,Enero,105.389
Canarias,Bebidas alcohólicas y tabaco,2020,Mayo,118.69
Canarias,Bebidas alcohólicas y tabaco,2020,Abril,118.571
Canarias,Bebidas alcohólicas y tabaco,2020,Marzo,118.868
Canarias,Bebidas alcohólicas y tabaco,2020,Febrero,117.685
Canarias,Bebidas alcohólicas y tabaco,2020,Enero,116.19
Canarias,Vestido y calzado,2020,Mayo,111.108
Canarias,Vestido y calzado,2020,Abril,108.705
Canarias,Vestido y calzado,2020,Marzo,97.336
Canarias,Vestido y calzado,2020,Febrero,91.418
Canarias,Vestido y calzado,2020,Enero,93.234
Canarias,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Mayo,99.291
Canarias,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Abril,99.132
Canarias,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Marzo,100.459
Canarias,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Febrero,101.869
Canarias,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Enero,102.675
Canarias,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Mayo,98.667
Canarias,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Abril,98.729
Canarias,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Marzo,98.028
Canarias,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Febrero,97.962
Canarias,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Enero,97.914
Canarias,Sanidad,2020,Mayo,100.323
Canarias,Sanidad,2020,Abril,100.275
Canarias,Sanidad,2020,Marzo,100.224
Canarias,Sanidad,2020,Febrero,100.218
Canarias,Sanidad,2020,Enero,100.29
Canarias,Transporte,2020,Mayo,105.817
Canarias,Transporte,2020,Abril,106.875
Canarias,Transporte,2020,Marzo,108.579
Canarias,Transporte,2020,Febrero,110.113
